iter	Logloss
0	0.6855703419
1	0.6785756118
2	0.6709301379
3	0.66479945
4	0.6594122645
5	0.6529856429
6	0.6459449194
7	0.639120794
8	0.6334715765
9	0.6271233034
10	0.6212940391
11	0.6157273503
12	0.6101805846
13	0.605483769
14	0.6006659821
15	0.5957816004
16	0.5907151982
17	0.5857292493
18	0.5813044486
19	0.5772132623
20	0.573195252
21	0.5691331457
22	0.5646817545
23	0.5609057233
24	0.5563517727
25	0.5528594466
26	0.5497922852
27	0.5455100154
28	0.5426181394
29	0.5393131785
30	0.5356795602
31	0.5323561221
32	0.5289575003
33	0.5255895417
34	0.5228787129
35	0.5198991017
36	0.516628931
37	0.5131131323
38	0.5099446589
39	0.5072308756
40	0.5045213985
41	0.5016625948
42	0.4984878436
43	0.4965694573
44	0.4940343008
45	0.4914477702
46	0.4889338618
47	0.4862737813
48	0.4837237272
49	0.4817849191
50	0.4789901491
51	0.4763634585
52	0.4741765475
53	0.4717950594
54	0.4698642709
55	0.4679990321
56	0.4664060936
57	0.4643409343
58	0.4620695874
59	0.4597984237
60	0.4574315968
61	0.4551837106
62	0.4533507677
63	0.4515372049
64	0.4497861086
65	0.4478105666
66	0.4457495995
67	0.4441687375
68	0.4422205002
69	0.4403714819
70	0.438636372
71	0.4369397258
72	0.4356002655
73	0.433896966
74	0.4320311615
75	0.4306418776
76	0.4291255307
77	0.4280240928
78	0.4264350318
79	0.4253374986
80	0.4239238366
81	0.4227062997
82	0.4212521298
83	0.4203915247
84	0.4191102185
85	0.4176793928
86	0.4168483538
87	0.4159091492
88	0.414873478
89	0.4137220094
90	0.4125323633
91	0.4116287268
92	0.4104011978
93	0.4094401963
94	0.4080011543
95	0.4071661717
96	0.4065556587
97	0.4056989398
98	0.4044452938
99	0.403660615

5
