iter	Passed	Remaining
0	7	775
1	18	885
2	23	762
3	29	717
4	32	610
5	40	633
6	49	651
7	51	590
8	53	541
9	55	503
10	58	470
11	60	443
12	62	418
13	64	394
14	66	377
15	68	361
16	71	348
17	73	336
18	76	324
19	79	316
20	81	306
21	83	296
22	85	287
23	88	280
24	90	272
25	93	265
26	95	259
27	98	252
28	100	246
29	102	240
30	105	235
31	108	230
32	110	225
33	113	219
34	115	213
35	117	209
36	120	204
37	123	201
38	125	196
39	128	192
40	130	187
41	132	183
42	135	179
43	137	174
44	139	170
45	142	166
46	144	162
47	147	159
48	149	155
49	151	151
50	153	147
51	156	144
52	158	140
53	161	137
54	164	134
55	165	130
56	168	126
57	170	123
58	172	120
59	175	116
60	177	113
61	179	110
62	182	107
63	184	103
64	186	100
65	188	97
66	190	94
67	193	90
68	195	87
69	197	84
70	199	81
71	201	78
72	204	75
73	207	72
74	209	69
75	211	66
76	214	63
77	215	60
78	217	57
79	219	54
80	221	52
81	223	49
82	225	46
83	226	43
84	227	40
85	230	37
86	232	34
87	234	31
88	236	29
89	238	26
90	241	23
91	243	21
92	244	18
93	246	15
94	247	13
95	249	10
96	250	7
97	251	5
98	253	2
99	254	0
6	599	18
97	601	12
98	607	6
99	610	0
